dup_idx,hardness,source_title,exact_top1_title,exact_hit,lsh_top1_title,lsh_hit
0,easy,Hindu denominations,Hindu denominations,1,2016–17 West Virginia Mountaineers women's basketball team,0
85,medium,"Tolata, Cochabamba","Tolata, Cochabamba",1,Takeshima Day,0
171,easy,The Juridification of Resource Conflicts,The Juridification of Resource Conflicts,1,List of Chi Psi members,0
256,medium,Caroline de Valory,Caroline de Valory,1,Audomar,0
342,easy,Pat Moylan (Cork hurler),Pat Moylan (Cork hurler),1,Pat Moylan (Cork hurler),1
428,hard,Odisha Industrial Infrastructure Development Corporation,Odisha Industrial Infrastructure Development Corporation,1,VesselSat-2,0
513,easy,Ernest Gaudin,Ernest Gaudin,1,Cycle Kick,0
599,hard,South Hurstville,South Hurstville,1,List of Atracidae species,0
685,medium,Corpus Mysticum,Corpus Mysticum,1,Aruba,0
770,hard,Detroit Film Critics Society Award for Best Documentary,Detroit Film Critics Society Award for Best Documentary,1,Circus of Books (film),0
856,medium,Mostafa El Gamel,Mostafa El Gamel,1,Lee Bong-ju,0
942,easy,Skhul Cave,Skhul Cave,1,Skhul Cave,1
1027,medium,Apocalyptica,Apocalyptica,1,Birds of Tokyo,0
1113,easy,Meshfree methods,Meshfree methods,1,Meshfree methods,1
1199,hard,The Lover in You,The Lover in You,1,The Lover in You,1
