hardness,method,topk,recall
easy,Exact cosine on JL,1,1.0
easy,JL + LSH retrieval,1,0.12
easy,Exact cosine on JL,5,1.0
easy,JL + LSH retrieval,5,0.12
easy,Exact cosine on JL,10,1.0
easy,JL + LSH retrieval,10,0.12
medium,Exact cosine on JL,1,1.0
medium,JL + LSH retrieval,1,0.1
medium,Exact cosine on JL,5,1.0
medium,JL + LSH retrieval,5,0.1
medium,Exact cosine on JL,10,1.0
medium,JL + LSH retrieval,10,0.1
hard,Exact cosine on JL,1,1.0
hard,JL + LSH retrieval,1,0.115
hard,Exact cosine on JL,5,1.0
hard,JL + LSH retrieval,5,0.115
hard,Exact cosine on JL,10,1.0
hard,JL + LSH retrieval,10,0.115
