method,topk,recall,avg_query_time_ms,avg_candidates
Exact cosine on TF-IDF,1,0.9991666666666666,1.3595781925001422,12000.0
Exact cosine on JL,1,1.0,0.6525391958333178,12000.0
JL + LSH retrieval,1,0.11166666666666666,8.158244335003246,1200.0
Exact cosine on TF-IDF,5,1.0,1.3595781925001422,12000.0
Exact cosine on JL,5,1.0,0.6525391958333178,12000.0
JL + LSH retrieval,5,0.11166666666666666,8.158244335003246,1200.0
Exact cosine on TF-IDF,10,1.0,1.3595781925001422,12000.0
Exact cosine on JL,10,1.0,0.6525391958333178,12000.0
JL + LSH retrieval,10,0.11166666666666666,8.158244335003246,1200.0
